VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,8.4985e-10,-8.6569e-10,0.5,9.91e+307,1.526034,174.0
2.0,0.0,3.3,8.5374e-10,-8.669e-10,0.5,9.91e+307,1.52611,175.0
2.0,0.0,3.3,8.5061e-10,-8.6588e-10,0.5,9.91e+307,1.525988,176.0
2.0,0.0,3.3,8.5128e-10,-8.6564e-10,0.5,9.91e+307,1.526008,177.0
2.0,0.0,3.3,8.4827e-10,-8.6565e-10,0.5,9.91e+307,1.52618,178.0
2.0,0.0,3.3,8.4785e-10,-8.6505e-10,0.5,9.91e+307,1.526114,179.0
2.0,0.0,3.3,8.5114e-10,-8.6585e-10,0.5,9.91e+307,1.526082,180.0
2.0,0.0,3.3,8.5205e-10,-8.6561e-10,0.5,9.91e+307,1.526026,181.0
2.0,0.0,3.3,8.4976e-10,-8.6698e-10,0.5,9.91e+307,1.526106,182.0
2.0,0.0,3.3,8.5158e-10,-8.6615e-10,0.5,9.91e+307,1.526156,183.0
2.0,0.0,3.3,8.5027e-10,-8.6437e-10,0.5,9.91e+307,1.526034,184.0
2.0,0.0,3.3,8.4843e-10,-8.645e-10,0.5,9.91e+307,1.526076,185.0
2.0,0.0,3.3,8.5208e-10,-8.6472e-10,0.5,9.91e+307,1.526002,186.0
2.0,0.0,3.3,8.5026e-10,-8.63e-10,0.5,9.91e+307,1.526174,187.0
2.0,0.0,3.3,8.5188e-10,-8.6315e-10,0.5,9.91e+307,1.5261,188.0
2.0,0.0,3.3,8.4978e-10,-8.6404e-10,0.5,9.91e+307,1.526136,189.0
2.0,0.0,3.3,8.4881e-10,-8.6319e-10,0.5,9.91e+307,1.526058,190.0
2.0,0.0,3.3,8.4893e-10,-8.6529e-10,0.5,9.91e+307,1.526138,191.0
2.0,0.0,3.3,8.5317e-10,-8.6556e-10,0.5,9.91e+307,1.526006,192.0
2.0,0.0,3.3,8.5069e-10,-8.6541e-10,0.5,9.91e+307,1.526118,193.0
2.0,0.0,3.3,8.5103e-10,-8.6682e-10,0.5,9.91e+307,1.52588,194.0
2.0,0.0,3.3,8.5077e-10,-8.6501e-10,0.5,9.91e+307,1.525986,195.0
2.0,0.0,3.3,8.4832e-10,-8.6502e-10,0.5,9.91e+307,1.526148,196.0
2.0,0.0,3.3,8.5109e-10,-8.6753e-10,0.5,9.91e+307,1.5261,197.0
2.0,0.0,3.3,8.4971e-10,-8.6759e-10,0.5,9.91e+307,1.526176,198.0
2.0,0.0,3.3,8.5191e-10,-8.6519e-10,0.5,9.91e+307,1.525954,199.0
2.0,0.0,3.3,8.5406e-10,-8.6683e-10,0.5,9.91e+307,1.525922,200.0
2.0,0.0,3.3,8.53e-10,-8.6617e-10,0.5,9.91e+307,1.5259,201.0
2.0,0.0,3.3,8.5227e-10,-8.6586e-10,0.5,9.91e+307,1.525904,202.0
2.0,0.0,3.3,8.4956e-10,-8.6827e-10,0.5,9.91e+307,1.526036,203.0
2.0,0.0,3.3,8.4982e-10,-8.6641e-10,0.5,9.91e+307,1.526144,204.0
2.0,0.0,3.3,8.512e-10,-8.6757e-10,0.5,9.91e+307,1.52613,205.0
2.0,0.0,3.3,8.5164e-10,-8.6946e-10,0.5,9.91e+307,1.525976,206.0
2.0,0.0,3.3,8.503e-10,-8.6652e-10,0.5,9.91e+307,1.526238,207.0
2.0,0.0,3.3,8.5327e-10,-8.6701e-10,0.5,9.91e+307,1.526008,208.0
2.0,0.0,3.3,8.5172e-10,-8.661e-10,0.5,9.91e+307,1.526062,209.0
2.0,0.0,3.3,8.5133e-10,-8.6752e-10,0.5,9.91e+307,1.526042,210.0
2.0,0.0,3.3,8.5052e-10,-8.6564e-10,0.5,9.91e+307,1.525984,211.0
2.0,0.0,3.3,8.5227e-10,-8.6455e-10,0.5,9.91e+307,1.526064,212.0
2.0,0.0,3.3,8.5579e-10,-8.6605e-10,0.5,9.91e+307,1.525822,213.0
2.0,0.0,3.3,8.5463e-10,-8.6771e-10,0.5,9.91e+307,1.525814,214.0
2.0,0.0,3.3,8.509e-10,-8.6693e-10,0.5,9.91e+307,1.52597,215.0
2.0,0.0,3.3,8.5125e-10,-8.6716e-10,0.5,9.91e+307,1.526012,216.0
2.0,0.0,3.3,8.5266e-10,-8.6719e-10,0.5,9.91e+307,1.525962,217.0
2.0,0.0,3.3,8.5235e-10,-8.6842e-10,0.5,9.91e+307,1.525898,218.0
2.0,0.0,3.3,8.5271e-10,-8.6839e-10,0.5,9.91e+307,1.525948,219.0
2.0,0.0,3.3,8.5482e-10,-8.6736e-10,0.5,9.91e+307,1.525918,220.0
2.0,0.0,3.3,8.573e-10,-8.6697e-10,0.5,9.91e+307,1.525774,221.0
2.0,0.0,3.3,8.5972e-10,-8.6513e-10,0.5,9.91e+307,1.525824,222.0
2.0,0.0,3.3,8.547e-10,-8.6582e-10,0.5,9.91e+307,1.52581,223.0
2.0,0.0,3.3,8.5393e-10,-8.67e-10,0.5,9.91e+307,1.525838,224.0
2.0,0.0,3.3,8.5701e-10,-8.6643e-10,0.5,9.91e+307,1.525768,225.0
2.0,0.0,3.3,8.5457e-10,-8.6701e-10,0.5,9.91e+307,1.525902,226.0
2.0,0.0,3.3,8.5469e-10,-8.6739e-10,0.5,9.91e+307,1.52588,227.0
2.0,0.0,3.3,8.4952e-10,-8.6655e-10,0.5,9.91e+307,1.52602,228.0
2.0,0.0,3.3,8.5729e-10,-8.6744e-10,0.5,9.91e+307,1.525756,229.0
2.0,0.0,3.3,8.5502e-10,-8.6775e-10,0.5,9.91e+307,1.525746,230.0
2.0,0.0,3.3,8.5743e-10,-8.6768e-10,0.5,9.91e+307,1.525576,231.0
2.0,0.0,3.3,8.5407e-10,-8.674e-10,0.5,9.91e+307,1.525872,232.0
2.0,0.0,3.3,8.5404e-10,-8.6825e-10,0.5,9.91e+307,1.525788,233.0
2.0,0.0,3.3,8.5648e-10,-8.6614e-10,0.5,9.91e+307,1.525824,234.0
2.0,0.0,3.3,8.5431e-10,-8.6837e-10,0.5,9.91e+307,1.525802,235.0
2.0,0.0,3.3,8.5444e-10,-8.6843e-10,0.5,9.91e+307,1.525664,236.0
2.0,0.0,3.3,8.5753e-10,-8.7315e-10,0.5,9.91e+307,1.525772,237.0
2.0,0.0,3.3,8.5259e-10,-8.6864e-10,0.5,9.91e+307,1.525798,238.0
2.0,0.0,3.3,8.5388e-10,-8.684e-10,0.5,9.91e+307,1.525748,239.0
2.0,0.0,3.3,8.54e-10,-8.6977e-10,0.5,9.91e+307,1.525728,240.0
2.0,0.0,3.3,8.5717e-10,-8.7158e-10,0.5,9.91e+307,1.525624,241.0
2.0,0.0,3.3,8.5631e-10,-8.6841e-10,0.5,9.91e+307,1.525802,242.0
2.0,0.0,3.3,8.6518e-10,-8.6798e-10,0.5,9.91e+307,1.525698,243.0
2.0,0.0,3.3,8.5355e-10,-8.751e-10,0.5,9.91e+307,1.525748,244.0
2.0,0.0,3.3,8.5384e-10,-8.6784e-10,0.5,9.91e+307,1.525776,245.0
2.0,0.0,3.3,8.522e-10,-8.6668e-10,0.5,9.91e+307,1.525948,246.0
2.0,0.0,3.3,8.5363e-10,-8.6449e-10,0.5,9.91e+307,1.525902,247.0
2.0,0.0,3.3,8.5316e-10,-8.649e-10,0.5,9.91e+307,1.525874,248.0
2.0,0.0,3.3,8.5324e-10,-8.6549e-10,0.5,9.91e+307,1.525854,249.0
2.0,0.0,3.3,8.5455e-10,-8.6575e-10,0.5,9.91e+307,1.52582,250.0
2.0,0.0,3.3,8.5125e-10,-8.6535e-10,0.5,9.91e+307,1.52591,251.0
2.0,0.0,3.3,8.4992e-10,-8.6464e-10,0.5,9.91e+307,1.525982,252.0
2.0,0.0,3.3,8.5297e-10,-8.6801e-10,0.5,9.91e+307,1.525934,253.0
2.0,0.0,3.3,8.5012e-10,-8.7267e-10,0.5,9.91e+307,1.526066,254.0
