VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
1.4,0.0,3.3,8.087e-11,9.91e+307,1.0,9.91e+307,7e-05
1.45,0.0,3.3,5.455e-11,9.91e+307,1.0,9.91e+307,5.4e-05
1.5,0.0,3.3,6.252e-11,9.91e+307,1.0,9.91e+307,5e-05
1.55,0.0,3.3,5.625e-11,9.91e+307,1.0,9.91e+307,3.6e-05
1.6,0.0,3.3,5.949e-11,9.91e+307,1.0,9.91e+307,3.2e-05
1.65,0.0,3.3,4.851e-11,9.91e+307,1.0,9.91e+307,5e-05
1.7,0.0,3.3,1.1631e-10,9.91e+307,1.0,9.91e+307,4e-05
1.75,0.0,3.3,6.6916e-10,9.91e+307,1.0,9.91e+307,0.000656
1.8,0.0,3.3,1.7747e-10,9.91e+307,1.0,9.91e+307,0.000304
1.85,0.0,3.3,2.2382e-10,9.91e+307,1.0,9.91e+307,0.000226
1.9,0.0,3.3,2.1618e-10,9.91e+307,1.0,9.91e+307,0.000164
1.95,0.0,3.3,2.5981e-10,9.91e+307,1.0,9.91e+307,7.2e-05
2.0,0.0,3.3,2.2079e-10,9.91e+307,1.0,9.91e+307,0.000214
2.05,0.0,3.3,1.3017e-10,9.91e+307,1.0,9.91e+307,0.000134
2.1,0.0,3.3,6.922e-11,9.91e+307,1.0,9.91e+307,4.2e-05
2.15,0.0,3.3,7.805e-11,9.91e+307,1.0,9.91e+307,0.000172
2.2,0.0,3.3,9.953e-11,9.91e+307,1.0,9.91e+307,9.8e-05
2.25,0.0,3.3,8.175e-11,9.91e+307,1.0,9.91e+307,6.2e-05
2.3,0.0,3.3,8.368e-11,9.91e+307,1.0,9.91e+307,5.4e-05
2.35,0.0,3.3,1.225e-10,9.91e+307,1.0,9.91e+307,7.8e-05
2.4,0.0,3.3,5.61e-11,9.91e+307,1.0,9.91e+307,5.6e-05
2.45,0.0,3.3,5.212e-11,9.91e+307,1.0,9.91e+307,5.8e-05
2.5,0.0,3.3,6.174e-11,9.91e+307,1.0,9.91e+307,2.6e-05
2.55,0.0,3.3,4.532e-11,9.91e+307,1.0,9.91e+307,3.2e-05
2.6,0.0,3.3,5.871e-11,9.91e+307,1.0,9.91e+307,3.8e-05
2.65,0.0,3.3,4.246e-11,9.91e+307,1.0,9.91e+307,4e-05
2.7,0.0,3.3,4.401e-11,9.91e+307,1.0,9.91e+307,1.2e-05
